,Green.all,Red.all,,Treatment,RGR,,Treatment.300,RGR.300,Green.300,Red.300,Treatment.400,RGR.400,Green.400,Red.400,Treatment.500,RGR.500,Green.500,Red.500
p.300.1,0.06012877,0.06545522,,Green,0.06012877,,Green,0.06012877,0.06012877,0.06545522,Green,0.1739516,0.1739516,0.131016,Green,0.1485553,0.1485553,0.1835087
p.300.2,0.04296511,0.03546864,,Green,0.04296511,,Green,0.04296511,0.04296511,0.03546864,Green,0.1268348,0.1268348,0.07462325,Green,0.08286511,0.08286511,0.09157112
p.300.3,0.06718083,0.1061015,,Green,0.06718083,,Green,0.06718083,0.06718083,0.1061015,Green,0.1301464,0.1301464,0.1194603,Green,0.1556069,0.1556069,0.1512421
p.300.4,0.05411881,0.06873686,,Green,0.05411881,,Green,0.05411881,0.05411881,0.06873686,Green,0.09035473,0.09035473,0.09727114,Green,0.02335302,0.02335302,0.05776227
p.300.5,0.0463057,0.07985863,,Green,0.0463057,,Green,0.0463057,0.0463057,0.07985863,Green,0.06166509,0.06166509,0.05488792,Green,0.1569421,0.1569421,0.1408008
p.300.6,0.04023161,0.0477469,,Green,0.04023161,,Green,0.04023161,0.04023161,0.0477469,Green,0.1627751,0.1627751,0.05529136,Green,0.1976999,0.1976999,0.2029293
p.300.7,0.05129231,0.06934433,,Green,0.05129231,,Green,0.05129231,0.05129231,0.06934433,Green,0.07488525,0.07488525,0.05650748,Green,0.1241665,0.1241665,0.1812303
p.300.8,0.05045557,0.05630526,,Green,0.05045557,,Green,0.05045557,0.05045557,0.05630526,Green,0.2714957,0.2714957,0.1821458,Green,0.2110094,0.2110094,0.2809787
p.300.9,0.06659159,0.07850936,,Green,0.06659159,,Green,0.06659159,0.06659159,0.07850936,Green,0.1038249,0.1038249,0.1631692,Green,0.06667124,0.06667124,0.1051666
p.300.10,0.0548604,0.08101468,,Green,0.0548604,,Green,0.0548604,0.0548604,0.08101468,Green,0.06035853,0.06035853,0.06485941,Green,0.1169039,0.1169039,0.1442359
p.300.11,0.03174359,0.02986684,,Green,0.03174359,,Green,0.03174359,0.03174359,0.02986684,Green,0.1406594,0.1406594,0.1803973,Green,0.02632108,0.02632108,0.1079842
p.300.12,0.04383458,0.05489508,,Green,0.04383458,,Green,0.04383458,0.04383458,0.05489508,Green,0.08262927,0.08262927,0.07436137,Green,0.2319903,0.2319903,0.2405186
p.300.13,0.08649618,0.04319805,,Green,0.08649618,,Green,0.08649618,0.08649618,0.04319805,Green,0.1323496,0.1323496,0.07947554,Green,0.2431139,0.2431139,0.03834083
p.300.14,0.1431768,0.09394896,,Green,0.1431768,,Green,0.1431768,0.1431768,0.09394896,Green,0.1075539,0.1075539,0.07336167,Green,0.1175212,0.1175212,0.1593583
p.300.15,0.05169573,0.05949717,,Green,0.05169573,,Green,0.05169573,0.05169573,0.05949717,Green,0.10081,0.10081,0.1161693,Green,0.1345989,0.1345989,0.2282829
p.300.16,0.06227127,0.1134517,,Green,0.06227127,,Green,0.06227127,0.06227127,0.1134517,Green,0.1312184,0.1312184,0.09132396,Green,0.1531507,0.1531507,0.1253022
p.300.17,0.05208479,0.06832348,,Green,0.05208479,,Green,0.05208479,0.05208479,0.06832348,Green,0.07210316,0.07210316,0.08939629,Green,0.1839802,0.1839802,0.1346636
p.300.18,0.08796676,0.09590712,,Green,0.08796676,,Green,0.08796676,0.08796676,0.09590712,Green,0.08048917,0.08048917,0.1036342,Green,0.2135748,0.2135748,0.0796877
p.300.19,0.04084826,0.03772821,,Green,0.04084826,,Green,0.04084826,0.04084826,0.03772821,Green,0.09152351,0.09152351,0.0644326,Green,0.1701065,0.1701065,0.1464288
p.300.20,0.07010289,0.06366763,,Green,0.07010289,,Green,0.07010289,0.07010289,0.06366763,Green,0.1240983,0.1240983,0.1555769,Green,0.1091756,0.1091756,0.1906355
p.300.21,0.0613806,0.1004651,,Green,0.0613806,,Green,0.0613806,0.0613806,0.1004651,Green,0.1217707,0.1217707,0.05872836,Green,0.1744461,0.1744461,0.1774394
p.300.22,0.1151216,0.06382686,,Green,0.1151216,,Green,0.1151216,0.1151216,0.06382686,Green,0.1108196,0.1108196,0.04721318,Green,0.138076,0.138076,0.1734131
p.300.23,0.06929368,0.1580144,,Green,0.06929368,,Green,0.06929368,0.06929368,0.1580144,Green,0.03367984,0.03367984,0.08196473,Green,0.1444942,0.1444942,0.1400481
p.300.24,0.08688088,0.192954,,Green,0.08688088,,Green,0.08688088,0.08688088,0.192954,Red,0.131016,,,Green,0.129629,0.129629,0.09756682
p.300.25,0.02250437,0.02603918,,Green,0.02250437,,Green,0.02250437,0.02250437,0.02603918,Red,0.07462325,,,Red,0.1835087,,
p.400.1,0.1739516,0.131016,,Green,0.1739516,,Red,0.06545522,,,Red,0.1194603,,,Red,0.09157112,,
p.400.2,0.1268348,0.07462325,,Green,0.1268348,,Red,0.03546864,,,Red,0.09727114,,,Red,0.1512421,,
p.400.3,0.1301464,0.1194603,,Green,0.1301464,,Red,0.1061015,,,Red,0.05488792,,,Red,0.05776227,,
p.400.5,0.09035473,0.09727114,,Green,0.09035473,,Red,0.06873686,,,Red,0.05529136,,,Red,0.1408008,,
p.400.6,0.06166509,0.05488792,,Green,0.06166509,,Red,0.07985863,,,Red,0.05650748,,,Red,0.2029293,,
p.400.7,0.1627751,0.05529136,,Green,0.1627751,,Red,0.0477469,,,Red,0.1821458,,,Red,0.1812303,,
p.400.8,0.07488525,0.05650748,,Green,0.07488525,,Red,0.06934433,,,Red,0.1631692,,,Red,0.2809787,,
p.400.9,0.2714957,0.1821458,,Green,0.2714957,,Red,0.05630526,,,Red,0.06485941,,,Red,0.1051666,,
p.400.10,0.1038249,0.1631692,,Green,0.1038249,,Red,0.07850936,,,Red,0.1803973,,,Red,0.1442359,,
p.400.11,0.06035853,0.06485941,,Green,0.06035853,,Red,0.08101468,,,Red,0.07436137,,,Red,0.1079842,,
p.400.12,0.1406594,0.1803973,,Green,0.1406594,,Red,0.02986684,,,Red,0.07947554,,,Red,0.2405186,,
p.400.13,0.08262927,0.07436137,,Green,0.08262927,,Red,0.05489508,,,Red,0.07336167,,,Red,0.03834083,,
p.400.14,0.1323496,0.07947554,,Green,0.1323496,,Red,0.04319805,,,Red,0.1161693,,,Red,0.1593583,,
p.400.15,0.1075539,0.07336167,,Green,0.1075539,,Red,0.09394896,,,Red,0.09132396,,,Red,0.2282829,,
p.400.17,0.10081,0.1161693,,Green,0.10081,,Red,0.05949717,,,Red,0.08939629,,,Red,0.1253022,,
p.400.18,0.1312184,0.09132396,,Green,0.1312184,,Red,0.1134517,,,Red,0.1036342,,,Red,0.1346636,,
p.400.19,0.07210316,0.08939629,,Green,0.07210316,,Red,0.06832348,,,Red,0.0644326,,,Red,0.0796877,,
p.400.20,0.08048917,0.1036342,,Green,0.08048917,,Red,0.09590712,,,Red,0.1555769,,,Red,0.1464288,,
p.400.21,0.09152351,0.0644326,,Green,0.09152351,,Red,0.03772821,,,Red,0.05872836,,,Red,0.1906355,,
p.400.22,0.1240983,0.1555769,,Green,0.1240983,,Red,0.06366763,,,Red,0.04721318,,,Red,0.1774394,,
p.400.23,0.1217707,0.05872836,,Green,0.1217707,,Red,0.1004651,,,Red,0.08196473,,,Red,0.1734131,,
p.400.24,0.1108196,0.04721318,,Green,0.1108196,,Red,0.06382686,,,,,,,Red,0.1400481,,
p.400.25,0.03367984,0.08196473,,Green,0.03367984,,Red,0.1580144,,,,,,,Red,0.09756682,,
p.500.1,0.1485553,0.1835087,,Green,0.1485553,,Red,0.192954,,,,,,,,,,
p.500.2,0.08286511,0.09157112,,Green,0.08286511,,Red,0.02603918,,,,,,,,,,
p.500.3,0.1556069,0.1512421,,Green,0.1556069,,,,,,,,,,,,,
p.500.4,0.02335302,0.05776227,,Green,0.02335302,,,,,,,,,,,,,
p.500.5,0.1569421,0.1408008,,Green,0.1569421,,,,,,,,,,,,,
p.500.6,0.1976999,0.2029293,,Green,0.1976999,,,,,,,,,,,,,
p.500.7,0.1241665,0.1812303,,Green,0.1241665,,,,,,,,,,,,,
p.500.8,0.2110094,0.2809787,,Green,0.2110094,,,,,,,,,,,,,
p.500.9,0.06667124,0.1051666,,Green,0.06667124,,,,,,,,,,,,,
p.500.10,0.1169039,0.1442359,,Green,0.1169039,,,,,,,,,,,,,
p.500.11,0.02632108,0.1079842,,Green,0.02632108,,,,,,,,,,,,,
p.500.12,0.2319903,0.2405186,,Green,0.2319903,,,,,,,,,,,,,
p.500.14,0.2431139,0.03834083,,Green,0.2431139,,,,,,,,,,,,,
p.500.15,0.1175212,0.1593583,,Green,0.1175212,,,,,,,,,,,,,
p.500.16,0.1345989,0.2282829,,Green,0.1345989,,,,,,,,,,,,,
p.500.17,0.1531507,0.1253022,,Green,0.1531507,,,,,,,,,,,,,
p.500.18,0.1839802,0.1346636,,Green,0.1839802,,,,,,,,,,,,,
p.500.19,0.2135748,0.0796877,,Green,0.2135748,,,,,,,,,,,,,
p.500.20,0.1701065,0.1464288,,Green,0.1701065,,,,,,,,,,,,,
p.500.21,0.1091756,0.1906355,,Green,0.1091756,,,,,,,,,,,,,
p.500.22,0.1744461,0.1774394,,Green,0.1744461,,,,,,,,,,,,,
p.500.23,0.138076,0.1734131,,Green,0.138076,,,,,,,,,,,,,
p.500.24,0.1444942,0.1400481,,Green,0.1444942,,,,,,,,,,,,,
p.500.25,0.129629,0.09756682,,Green,0.129629,,,,,,,,,,,,,
,,,,Red,0.06545522,,,,,,,,,,,,,
,,,,Red,0.03546864,,,,,,,,,,,,,
,,,,Red,0.1061015,,,,,,,,,,,,,
,,,,Red,0.06873686,,,,,,,,,,,,,
,,,,Red,0.07985863,,,,,,,,,,,,,
,,,,Red,0.0477469,,,,,,,,,,,,,
,,,,Red,0.06934433,,,,,,,,,,,,,
,,,,Red,0.05630526,,,,,,,,,,,,,
,,,,Red,0.07850936,,,,,,,,,,,,,
,,,,Red,0.08101468,,,,,,,,,,,,,
,,,,Red,0.02986684,,,,,,,,,,,,,
,,,,Red,0.05489508,,,,,,,,,,,,,
,,,,Red,0.04319805,,,,,,,,,,,,,
,,,,Red,0.09394896,,,,,,,,,,,,,
,,,,Red,0.05949717,,,,,,,,,,,,,
,,,,Red,0.1134517,,,,,,,,,,,,,
,,,,Red,0.06832348,,,,,,,,,,,,,
,,,,Red,0.09590712,,,,,,,,,,,,,
,,,,Red,0.03772821,,,,,,,,,,,,,
,,,,Red,0.06366763,,,,,,,,,,,,,
,,,,Red,0.1004651,,,,,,,,,,,,,
,,,,Red,0.06382686,,,,,,,,,,,,,
,,,,Red,0.1580144,,,,,,,,,,,,,
,,,,Red,0.192954,,,,,,,,,,,,,
,,,,Red,0.02603918,,,,,,,,,,,,,
,,,,Red,0.131016,,,,,,,,,,,,,
,,,,Red,0.07462325,,,,,,,,,,,,,
,,,,Red,0.1194603,,,,,,,,,,,,,
,,,,Red,0.09727114,,,,,,,,,,,,,
,,,,Red,0.05488792,,,,,,,,,,,,,
,,,,Red,0.05529136,,,,,,,,,,,,,
,,,,Red,0.05650748,,,,,,,,,,,,,
,,,,Red,0.1821458,,,,,,,,,,,,,
,,,,Red,0.1631692,,,,,,,,,,,,,
,,,,Red,0.06485941,,,,,,,,,,,,,
,,,,Red,0.1803973,,,,,,,,,,,,,
,,,,Red,0.07436137,,,,,,,,,,,,,
,,,,Red,0.07947554,,,,,,,,,,,,,
,,,,Red,0.07336167,,,,,,,,,,,,,
,,,,Red,0.1161693,,,,,,,,,,,,,
,,,,Red,0.09132396,,,,,,,,,,,,,
,,,,Red,0.08939629,,,,,,,,,,,,,
,,,,Red,0.1036342,,,,,,,,,,,,,
,,,,Red,0.0644326,,,,,,,,,,,,,
,,,,Red,0.1555769,,,,,,,,,,,,,
,,,,Red,0.05872836,,,,,,,,,,,,,
,,,,Red,0.04721318,,,,,,,,,,,,,
,,,,Red,0.08196473,,,,,,,,,,,,,
,,,,Red,0.1835087,,,,,,,,,,,,,
,,,,Red,0.09157112,,,,,,,,,,,,,
,,,,Red,0.1512421,,,,,,,,,,,,,
,,,,Red,0.05776227,,,,,,,,,,,,,
,,,,Red,0.1408008,,,,,,,,,,,,,
,,,,Red,0.2029293,,,,,,,,,,,,,
,,,,Red,0.1812303,,,,,,,,,,,,,
,,,,Red,0.2809787,,,,,,,,,,,,,
,,,,Red,0.1051666,,,,,,,,,,,,,
,,,,Red,0.1442359,,,,,,,,,,,,,
,,,,Red,0.1079842,,,,,,,,,,,,,
,,,,Red,0.2405186,,,,,,,,,,,,,
,,,,Red,0.03834083,,,,,,,,,,,,,
,,,,Red,0.1593583,,,,,,,,,,,,,
,,,,Red,0.2282829,,,,,,,,,,,,,
,,,,Red,0.1253022,,,,,,,,,,,,,
,,,,Red,0.1346636,,,,,,,,,,,,,
,,,,Red,0.0796877,,,,,,,,,,,,,
,,,,Red,0.1464288,,,,,,,,,,,,,
,,,,Red,0.1906355,,,,,,,,,,,,,
,,,,Red,0.1774394,,,,,,,,,,,,,
,,,,Red,0.1734131,,,,,,,,,,,,,
,,,,Red,0.1400481,,,,,,,,,,,,,
,,,,Red,0.09756682,,,,,,,,,,,,,