,RGR.Green.All,Green.Jan.Feb,Green.Feb.Mar,Green.Mar.Apr,Green.Apr.May,Green.May.June,Green.June.July,Green.July.Aug,Green.Aug.Sep,Green.Sep.Oct,Green.Oct.Nov,Green.Nov.Dec,Green.Dec.Jan19,Mean.SR.Green,RGR.Red.All,Red.Jan.Feb,Red.Feb.Mar,Red.Mar.Apr,Red.Apr.May,Red.May.June,Red.June.July,Red.July.Aug,Red.Aug.Sep,Red.Sep.Oct,Red.Oct.Nov,Red.Nov.Dec,Red.Dec.Jan19,Mean.SR.Red
p.300.1,0.06012877,1,0.974358974,0.975,1,1,1,0.976190476,1,1,1,0.926829268,0.973684211,0.985505244,0.06545522,0.95,0.952380952,0.956521739,1,1,1,0.916666667,1,1,1,1,0.956521739,0.977674258
p.300.2,0.04296511,0.962962963,0.775862069,0.956521739,0.954545455,1,1,1,1,1,1,1,1,0.970824352,0.03546864,1,0.893617021,0.977777778,0.977272727,0.977272727,1,1,1,0.977272727,1,1,0.930232558,0.977787128
p.300.3,0.06718083,0.947368421,0.85,1,1,1,1,1,0.966666667,0.965517241,0.931034483,1,0.925925926,0.965542728,0.1061015,1,1,1,1,1,1,1,1,1,1,1,1,1
p.300.4,0.05411881,1,0.942857143,0.971428571,0.942857143,1,1,1,1,1,0.976190476,0.976190476,0.926829268,0.978029423,0.06873686,0.98,1,0.983050847,0.983333333,1,1,1,0.983870968,1,1,1,0.968253968,0.991542426
p.300.5,0.0463057,0.857142857,1,1,1,1,1,1,1,0.9,1,0.888888889,1,0.970502646,0.07985863,0.928571429,1,1,1,1,1,1,0.964285714,0.965517241,1,1,1,0.988197865
p.300.6,0.04023161,1,0.984848485,1,1,1,1,0.986111111,0.985915493,0.943661972,0.985074627,0.984848485,0.815384615,0.973820399,0.0477469,1,1,0.979591837,1,0.980392157,1,1,1,0.980392157,1,1,0.88,0.985031346
p.300.7,0.05129231,0.972972973,0.923076923,0.972972973,1,1,1,1,1,0.943396226,1,1,0.9,0.976034925,0.06934433,0.953488372,0.978723404,1,1,0.981132075,1,1,0.981132075,1,1,0.981132075,0.923076923,0.983223744
p.300.8,0.05045557,0.944444444,0.952380952,1,1,1,1,1,0.95,1,1,1,0.904761905,0.979298942,0.05630526,1,0.833333333,1,1,1,1,1,0.9,1,1,1,0.9,0.969444444
p.300.9,0.06659159,1,1,1,1,1,1,1,1,1,1,1,0.971428571,0.997619048,0.07850936,1,0.913043478,1,0.956521739,1,1,1,1,1,1,1,0.958333333,0.985658213
p.300.10,0.0548604,0.981481481,0.984848485,1,1,1,1,1,1,0.972972973,0.986111111,1,1,0.993784504,0.08101468,1,1,1,1,1,1,1,1,1,0.9375,1,0.733333333,0.972569444
p.300.11,0.03174359,0.964285714,1,1,1,1,1,0.989473684,1,0.989473684,0.968085106,0.846153846,0.753246753,0.959226566,0.02986684,0.9,1,1,1,1,1,1,1,1,1,0.964285714,0.962962963,0.985604056
p.300.12,0.04383458,0.933333333,1,0.941176471,1,1,0.958333333,1,1,0.962962963,1,0.962962963,0.961538462,0.976692294,0.05489508,1,1,0.9375,0.96875,1,0.974358974,1,1,1,0.923076923,1,0.918367347,0.97683777
p.300.13,0.08649618,1,1,1,1,1,1,1,1,1,0.962962963,1,0.769230769,0.977682811,0.04319805,1,1,1,1,1,1,1,0.958333333,1,0.956521739,0.863636364,0.95,0.977374286
p.300.14,0.1431768,1,1,1,0.888888889,1,1,0.9,1,1,1,0.8,0.625,0.934490741,0.09394896,1,0.944444444,1,1,1,1,1,1,1,1,1,1,0.99537037
p.300.15,0.05169573,1,1,1,1,1,1,0.956521739,1,0.954545455,1,0.80952381,0.941176471,0.971813956,0.05949717,1,1,1,1,1,1,1,1,0.909090909,1,1,0.8,0.975757576
p.300.16,0.06227127,1,1,0.9,1,1,1,0.954545455,0.976744186,1,0.956521739,0.681818182,0.7,0.930802464,0.1134517,1,1,1,1,1,1,1,1,1,1,0.722222222,1,0.976851852
p.300.17,0.05208479,0.933333333,1,1,1,1,1,1,0.96875,0.967741935,0.966666667,0.965517241,0.964285714,0.980524574,0.06832348,1,1,0.975609756,1,1,1,1,1,1,1,0.982758621,0.98245614,0.99506871
p.300.18,0.08796676,1,0.875,1,1,1,1,1,0.947368421,1,0.894736842,0.823529412,0.785714286,0.943862413,0.09590712,0.875,1,1,1,0.916666667,1,1,1,0.75,0.916666667,0.909090909,0.8,0.930618687
p.300.19,0.04084826,1,0.928571429,0.923076923,1,1,1,1,1,1,1,0.846153846,0.909090909,0.967241092,0.03772821,1,0.909090909,1,1,1,1,1,1,1,0.909090909,0.8,0.75,0.947348485
p.300.20,0.07010289,1,1,1,1,1,0.9,1,1,0.9,1,0.777777778,0.714285714,0.941005291,0.06366763,1,1,1,1,1,1,1,1,0.894736842,0.941176471,1,0.75,0.965492776
p.300.21,0.0613806,0.818181818,0.916666667,1,1,1,1,0.952380952,0.95,0.904761905,0.952380952,0.9,0.888888889,0.940271765,0.1004651,1,0.875,0.888888889,1,1,1,1,1,0.931034483,0.925925926,0.96,0.916666667,0.95812633
p.300.22,0.1151216,1,0.9375,1,1,0.947368421,1,0.904761905,0.947368421,1,1,0.944444444,0.705882353,0.948943795,0.06382686,1,0.928571429,1,1,1,1,1,0.947368421,1,0.947368421,1,0.888888889,0.97601643
p.300.23,0.06929368,1,1,1,1,1,1,1,1,1,0.916666667,1,0.909090909,0.985479798,0.1580144,1,1,1,1,1,1,1,1,1,1,1,1,1
p.300.24,0.08688088,1,1,1,1,1,1,1,1,1,0.833333333,0.8,1,0.969444444,0.192954,1,1,1,1,1,1,1,1,0.96,1,1,0.791666667,0.979305556
p.300.25,0.02250437,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02603918,1,0.833333333,1,1,1,1,1,1,1,1,1,1,0.986111111
p.400.1,0.1739516,1,0,NA,NA,1,1,1,1,0.941176471,1,1,0.909090909,0.885026738,0.131016,1,0.866666667,0.692307692,0.9,1,1,1,0.956521739,1,0.961538462,1,1,0.948086213
p.400.2,0.1268348,0.933333333,0.875,0.928571429,0.923076923,1,1,1,0.916666667,1,1,1,0.818181818,0.949569181,0.07462325,NA,NA,NA,NA,1,0,NA,NA,1,1,1,1,0.833333333
p.400.3,0.1301464,1,1,0.923076923,1,1,1,1,0.923076923,0.916666667,1,1,1,0.980235043,0.1194603,1,1,1,1,1,1,1,1,1,1,1,1,1
p.400.4,,1,1,0.75,1,1,1,0.857142857,1,0.833333333,1,0,NA,0.858225108,,1,1,1,1,1,0.333333333,1,1,1,1,0,NA,0.848484848
p.400.5,0.09035473,0.666666667,0.8,1,1,0.833333333,0.8,0.75,1,1,1,1,1,0.904166667,0.09727114,1,1,1,1,1,1,1,1,1,1,1,1,1
p.400.6,0.06166509,1,0.913043478,0.785714286,0.921052632,1,1,1,0.945945946,0.945945946,0.971428571,1,0.971428571,0.954546619,0.05488792,1,1,0.814814815,1,0.966666667,0.966666667,0.9,1,0.962962963,0.884615385,0.958333333,0.958333333,0.951032764
p.400.7,0.1627751,1,1,1,1,0.98,0.979591837,0.958333333,0.891304348,0.902439024,0.756756757,1,0.642857143,0.925940204,0.05529136,1,1,1,1,1,1,0.9375,1,0.935483871,0.733333333,1,0.772727273,0.948253706
p.400.8,0.07488525,1,1,1,1,1,1,1,1,1,1,1,0.777777778,0.981481482,0.05650748,1,1,1,1.2,1,1,1,1,1,1,1,0.857142857,1.004761905
p.400.9,0.2714957,1,1,1,1,1,1,0.666666667,1,1,0.5,1,1,0.930555556,0.1821458,1,1,0.75,1,1,1,1,1,1,0.9,1,0.5,0.929166667
p.400.10,0.1038249,1,0.8,1,1,1,1,0.923076923,0.923076923,0.923076923,0.833333333,0.8,1,0.933547009,0.1631692,0.909090909,0.928571429,1,1,0.952380952,1,1,1,0.913043478,0.952380952,1,0.9,0.962955643
p.400.11,0.06035853,1,1,1,1,1,1,1,1,0.5,1,1,1,0.958333333,0.06485941,1,1,1,1,1,1,1,0.909090909,1,1,1,1,0.992424242
p.400.12,0.1406594,1,0.75,1,1,1,1,1,1,0.888888889,0.875,1,0.857142857,0.947585979,0.1803973,0.923076923,0.85,0.941176471,0.875,0.928571429,1,1,0.9375,1,1,0.933333333,1,0.949054846
p.400.13,0.08262927,1,0.666666667,1,1,1,1,1,1,0.666666667,1,1,1,0.944444445,0.07436137,1,1,1,1,1,1,1,1,1,0.875,0.785714286,1,0.971726191
p.400.14,0.1323496,1,0.923076923,0.96,1,1,0.964285714,0.962962963,1,0.962962963,0.846153846,1,0.956521739,0.964663679,0.07947554,1,0.8,0.952380952,1,0.95,1,1,1,0.956521739,1,1,1,0.971575224
p.400.15,0.1075539,1,1,1,1,1,1,0.9,1,0.95,0.947368421,1,0.833333333,0.969225146,0.07336167,1,1,1,1,1,1,0.939393939,1,1,1,1,0.935483871,0.989573151
p.400.16,,1,1,1,1,1,1,1,1,1,1,0.894736842,0.941176471,0.986326109,,NA,0,1,1,1,1,1,1,1,0,NA,NA,0.777777778
p.400.17,0.10081,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1161693,NA,0.666666667,1,1,1,1,1,0.6,1,1,1,1,0.933333333
p.400.18,0.1312184,1,1,1,1,1,1,0.714285714,1,1,0.666666667,1,1,0.948412698,0.09132396,1,1,1,1,0.714285714,0.8,1,1,1,1,1,0.5,0.917857143
p.400.19,0.07210316,1,0.85,1,1,1,1,1,1,1,1,1,0.939393939,0.982449495,0.08939629,1,1,1,1,0.941176471,1,0.958333333,1,0.931034483,1,1,0.928571429,0.97992631
p.400.20,0.08048917,0.923076923,1,0.866666667,1,1,1,1,1,1,1,1,0.935483871,0.977102288,0.1036342,1,1,0.75,1,1,1,1,1,1,1,1,1,0.979166667
p.400.21,0.09152351,1,1,1,0.75,1,1,1,1,0.9,1,1,0.777777778,0.952314815,0.0644326,1,1,0.96875,0.975609756,1,0.934782609,0.956989247,0.921348315,0.975609756,0.975,0.961538462,0.72,0.949135679
p.400.22,0.1240983,1,1,1,1,1,1,1,1,1,0.9375,1,0.9,0.986458333,0.1555769,1,0.965517241,0.971428571,0.941176471,1,1,0.974358974,0.973684211,1,0.972972973,1,0.944444444,0.978631907
p.400.23,0.1217707,1,1,1,1,1,1,1,0.9375,1,0.933333333,1,0.8,0.972569444,0.05872836,1,1,1,1,1,0.944444444,1,1,1,1,0.941176471,0.9375,0.985260076
p.400.24,0.1108196,1,0.866666667,1,1,1,1,1,1,1,0.875,1,0.928571429,0.972519841,0.04721318,1,1,1,1,1,0.857142857,1,1,0.928571429,0.928571429,1,0.846153846,0.963369963
p.400.25,0.03367984,0.947368421,0.967741935,0.966666667,1,1,0.966666667,1,1,0.933333333,1,0.892857143,0.8,0.956219514,0.08196473,1,0.916666667,0.956521739,0.863636364,1,1,1,1,1,1,1,0.789473684,0.960524871
p.500.1,0.1485553,1,1,1,1,1,1,1,0.944444444,1,0.823529412,0.933333333,1,0.975108932,0.1835087,0.909090909,1,1,1,1,1,1,1,0.958333333,0.958333333,1,0.962962963,0.982393378
p.500.2,0.08286511,1,1,1,1,1,0.962962963,1,1,1,1,0.970588235,0.970588235,0.992011619,0.09157112,1,1,1,1,1,1,1,1,1,1,1,1,1
p.500.3,0.1556069,1,0.8,1,1,1,1,1,1,0.933333333,1,1,1,0.977777778,0.1512421,1,1,1.125,0.888888889,1,1,1,0.941176471,0.9375,1,1,0.866666667,0.979936002
p.500.4,0.02335302,1,1,1,1,1,1,1,0.666666667,1,1,1,1,0.972222222,0.05776227,1,1,1,1,1,1,1,1,0.5,1,1,1,0.958333333
p.500.5,0.1569421,1,0.909090909,1,0.928571429,1,0.928571429,1,1,0.928571429,0.923076923,1,1,0.968156843,0.1408008,0.941176471,0.941176471,1,1,1,1,1,0.958333333,0.88,0.954545455,0.954545455,0.952380952,0.965179845
p.500.6,0.1976999,1,1,0.666666667,1,1,1,1,1,0.875,1,1,0.857142857,0.949900794,0.2029293,0.6,1,1,1,1,1,1,1,1,1,1,1,0.966666667
p.500.7,0.1241665,1,1,1,1,1,1,1,1,1,0.923076923,0.916666667,0.909090909,0.979069542,0.1812303,1,0.8,1,1,1,1,1,1,1,1,1,1,0.983333333
p.500.8,0.2110094,1,0.6,1,1,1,1,1,1,1,1,1,1,0.966666667,0.2809787,1,0,NA,NA,1,1,1,0.928571429,1,1,1,1,0.892857143
p.500.9,0.06667124,1,1,1,1.2,1,1,1,1,0.875,1,0.875,0.857142857,0.983928571,0.1051666,1,0.9,1,1,1,1,1,0.857142857,0.916666667,0.909090909,0.8,1,0.948575036
p.500.10,0.1169039,1,1,1,1,1,1,1,0.857142857,1,1,0.916666667,1,0.981150794,0.1442359,1,1,1,1,1,1,1,0.866666667,0.769230769,1,0.818181818,0.9,0.946173271
p.500.11,0.02632108,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1079842,1,0.75,1,1,1,0.916666667,1,1,1,0.846153846,0.909090909,0.2,0.885159285
p.500.12,0.2319903,1,1,0.857142857,1,0.947368421,0.944444444,1,1,0.964285714,0.925925926,1,0.96,0.96659728,0.2405186,0.6,1,0.8,1,1,0.833333333,1,1,0.967741935,1,1,0.7,0.908422939
p.500.13,,1,1,1,1,1,0.944444444,1,0.947368421,0.944444444,1,0.941176471,0.75,0.960619482,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p.500.14,0.2431139,1,1,0.75,1,1,1,1,1,1,1,0.666666667,1,0.951388889,0.03834083,1,1,1,1,1,1,1,1,1,0.5,1,1,0.958333333
p.500.15,0.1175212,1,0.928571429,0.962962963,1,1,1,0.970588235,1,0.970588235,1,0.885714286,0.967741935,0.973847257,0.1593583,1,0.970588235,1,0.972222222,1,1,1,0.971428571,1,0.941176471,1,0.9375,0.982742958
p.500.16,0.1345989,1,1,0.916666667,1,1,1,1,1,1,0.923076923,1,0.916666667,0.979700855,0.2282829,1,1,0.666666667,1,1,1,0.5,1,1,1,1,1,0.930555556
p.500.17,0.1531507,0.909090909,1,0.928571429,1,1,1,1,1,0.9375,1,1,1,0.981263528,0.1253022,1,0.923076923,1,1,1,0.857142857,1,1,1,1,1,0.75,0.960851648
p.500.18,0.1839802,1,0.96875,1,0.96969697,1,0.96875,1,1,0.96875,0.967741935,0.933333333,0.892857143,0.972489948,0.1346636,1,1,1,1,1,1,1,1,0.928571429,1,0.923076923,0.75,0.966804029
p.500.19,0.2135748,1,0.833333333,0.6,1,1,1,1,1,0.9,0.833333333,0.8,0.692307692,0.888247863,0.0796877,1,1,0.833333333,1,1,1.333333333,1,1,1,0.777777778,0.857142857,1,0.983465608
p.500.20,0.1701065,1,1,1,1,1,1,1,1,0.84375,0.925925926,0.92,0.913043478,0.966893284,0.1464288,0.954545455,0.964285714,1,1,1,0.964285714,1,1,1,1,1,0.935483871,0.984883396
p.500.21,0.1091756,1,1,0.666666667,1,1,1,1,1,1,1,1,1,0.972222222,0.1906355,1,1,1,1,1,1,1,1,1,1,1,1,1
p.500.22,0.1744461,1,1,1,1,1,1,1,1,1,1,0.928571429,1,0.994047619,0.1774394,1,1,1,1,1,1,1,1,1,1,1,1,1
p.500.23,0.138076,0.9,1,1,1,1,1,1,1,1,1,0.9375,1,0.986458333,0.1734131,NA,NA,NA,NA,1,0.666666667,1,1,1,1,1,0.923076923,0.948717949
p.500.24,0.1444942,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1400481,1,1,0.846153846,1,1,1,1,1,1,0.96,1,0.96,0.980512821
p.500.25,0.129629,1,0.9375,1,1,1,1,1,1,1,1,1,0.833333333,0.980902778,0.09756682,1,0.857142857,0.916666667,1,1,1,1,1,1,1,0.9375,1,0.97594246